,four/aLogic,four/aLogicNegative,four/aLogicNegative1,four/aLogicNegative2,four/aStructure,four/b1Logic,four/bLogic,four/bStructure,four/cLogic,four/cStructure,four/forArithmetic,four/forArray,three/aLogic,three/aLogicNegative,three/aLogicNegative1,three/aLogicNegative2,three/aStructure,three/b1Logic,three/bLogic,three/bStructure,three/cLogic,three/cStructure,three/forArithmetic,three/forArray,two/aLogic,two/aLogicNegative,two/aLogicNegative1,two/aLogicNegative2,two/aStructure,two/bLogic,two/bStructure,two/forArithmetic,two/forArray,special/forArr0,special/forArr1,special/forArr2,special/forArr3,special/forArr4,special/forArr5,special/forArr6
1470064866744,,,,,,27106.0949999839,20928.4900000095,,,,,,15297.8649999946,,,,9178,11809.375,,12506.3950000107,,12030.2699999809,,,6833.85000000894,,,,,,5351.125,,,,11002.6100000143,,,,18011.8299999982,
1466501810960,,,,19376.075,,,,,,,,45649.24,,,,,12652.255,,,,,,24221.985,,,16333.635,,,,,15290.225,,,,,,,,,
1469964952556,,,,,,,,,,,,,,,,,2739.62,,,,,4521.39,,9979.665,,,,,,,,,,4464.68000000001,,,,,,
1469965097941,,,,,,,,,,17845.58,,,,,,,,13991.49,,,,34966.225,,,,,,,,,,,,15561.745,,,,,,
1470069895431,,,,,,22717.63,37979.6,,,,,,,,,,,15592.145,,,,13967.99,,,,,,,,,,,,,,10343.03,,,,
1469999096086,7556.37999999999,8847.46999999997,,,,,,,,,,,12720.2,29203.015,5647.02499999999,8885.795,,,,,,,,,,26693.055,6732.625,,,,,,,8458.15000000001,,,,,,15892.4
1469965878600,,,,,12337.77,,,,,11855.46,,,,,,,15382.74,,,,,11331.89,66923.475,,,,,,6933.66500000001,,,,36218.385,10829.46,,14299.265,,,,21238.085
1469981855562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470029623196,25262.785,,,,,,,,,,,,24408.105,25063.66,,40031.385,,,,,,,,,19014.03,19113.6399999999,,,,,,,,25303.65,,,15524.855,,22499.1149999999,
1470071006497,,,,,26328.53,,,,,13783.21,,,,,,,13712.175,,,,,14224.665,,61681.45,,,,,,,,43996.345,28050.46,,,11525.14,,18803.05,,
1470070105421,,,,,,,,,,9790.54500000001,,,,,,,8974.69500000001,,,,,,51527.62,28625.7,,,,,,,,34081.51,50988.97,13191.415,,30616.36,,,,25496.96
1465909136063,20783.955,29795.5,20010.255,34756.455,,25591.495,,17464.0049999999,44942.375,,12975.17,15497.295,24774.835,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470027976789,,,,,,,,32350.98,,18353.64,,,10385.4300000002,,,,,16239.7349999999,14398.1099999999,24432.4800000002,35291.785,17426.8100000003,,,9081.79499999993,,,,,16536.405,,,,,31615.2899999999,,10169.3049999997,,,
1470035691099,,24310.3050000001,,,,,,,,,,,20780.835,20039.965,35252.155,43031.17,,,,,,,,,,,,29070.54,,,,,,,24035.895,,,,11147.945,
1470221021856,,,50147.9999999999,48852,,,,,,,,,31431,29348.9949999999,,37847,,,,,,,,,,,20958,,,,,,,,15996,,,33215,,18408
1465303783394,43366.4750000001,42758.9749999996,,,,33687.77,,26208.4750000001,,56935.3200000001,23662.0950000002,20924.4149999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469999317043,,,,,,6593.58,6574.19500000001,,12250.43,,,,10558.58,,,,5550.99000000001,8670.04999999999,,13885.26,7205.19500000001,9884.58000000002,,,5342.77500000002,,,,,,10159.065,,,,8158.73000000001,25319.54,,,8939.08499999999,
1470034983838,,,,,,,,,,,,,,,,,,,,,,,,,,,24169.785,,,,,,,,,,,,,
1469967258591,,,,,,,,,,,38126.9259999972,32838.4030000307,,,,,21188.0880000535,,,,,,,,,,,,,,,56773.4040000942,17824.0960000549,,12832.0239998866,,10012.6040000468,11851.3680000324,,
1470037001166,,,,,29516.94,,,,,35068.77,,,28221.72,,,,20881.3600000001,33765.735,,23076.275,26632.755,21473.61,,,17288.4249999999,,,,,,19366.535,,,,,,,,,
1470090531258,,25745.265,,,,,,,,,,,22521.44,20270.985,,21837.315,,,,,,,,,,,34687.6,,,,,,,,14718.815,,,,21620.585,
1465903933205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469967824804,,22840.09,,,,,,,,,,,19865.145,23952.1,,26774.445,,,,,,,,,11159.555,10037.805,,,,,,,,,15775.895,14369.26,,,,25400.88
1470036150192,,,,23529.765,,,,,,,,,23754.515,11750.26,25202.06,,,,,,,,,,7675.19499999998,19074.31,,,,,,,,,10421.115,9692.145,6594.3,,,
1470057192096,16915.6170000006,,,,,,,20172.7730000002,,,,,20531.4529999996,,,,17894.8579999997,31665.2299999987,,28550.616999999,25406.8799999986,20782.9610000008,,,10371.0620000002,,,,,,18232.3369999994,,,12674.7379999997,,8163.36900000169,,,,19001.2569999999
1470002405508,,,,,,,,,,,,,,,,,,,,,3319.165,,,,458.235000000001,,,,,,,,,,9113.615,,,,,
1470000485272,35603.265,,,,,54000.935,39953.01,,,,,,39087.545,,,,16597.11,,,15604.3200000001,20982.69,20045.81,,,,,,,,,22770.805,,,,,,12806.415,,,
1469963957759,,26696.475,40221.965,,,,,,,,,,25258.5200000001,17490.2050000001,33937.245,48050.95,,,,,,,,,12138.15,11754.6499999999,,,,,,,,,22571.4399999999,,,,,43098.4950000001
1469966811682,31634.490000084,,,,,,,27306.4560000785,,,,,9889.93800012395,,,,,8663.86299999431,,,26761.3419999834,14893.1950000115,,,9002.45400005952,,,,,,13754.3300001416,,,,10217.7519998513,,14208.4449999966,,16435.3869999759,
1470097449501,,,,,,,,,,22849.395,15164.655,,,,,,10104.025,,,,,9141.60999999999,,35429.2,,,,,,,,14596.285,30976.24,6228.35500000001,,,8189.54000000001,,,13379.41
1470083459924,,,,24533.515,,,,,,,,,37481.6850000001,26585.295,34001.52,40432.275,,,,,,,,,54604.69,21294.995,,,,,,,,31047.62,,,20379.5549999999,,,
1469966187633,13776.9480000716,16289.0149999876,,,,,,,,,,,11812.7450000029,21641.6239999235,,12967.6240000408,,,,,,,,,7713.36499997415,,,15457.827999955,,,,,,14272.0049999189,,,,,28837.40700013,
1469984988833,,31971.8,,,,,,,,,,,17314.2999999999,17694.99,54013.975,42343.155,,,,,,,,,12169.425,24207.5,,,,,,,,11848.71,,,48128.44,,,
1470029667573,,,,,12273.3599999999,,,,,23421.0700000001,,,18401.18,,,,14033.2949999999,20844.485,,23319.265,23198.765,11271.5450000002,,,10262.4,,,,,12057.3899999999,,,,,,9247.8350000002,,,,21670.0649999999
1470029412016,24042.3300000001,,,,,,,18514.9,,,,,25477.0449999999,,,,40037.6050000001,29952.46,,30415.755,13946.27,,,,24168.4500000001,,,,,,16705.41,,,,17746.08,,,,,
1470031569406,,47548.465,,,,,,,,,,,,,,22707.94,,,,,,,,,,,,,,,,,,,59501.815,,,,,
1470122840008,33212.915,,,,,24739.52,32949.8,,,,,,26028.855,,,,35429.355,,,21625.485,37084.465,39413.48,,,15735.275,,,,,16292.6,,,,,,,20439.49,,44176.095,
1470037206919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470053276267,25284.22,,,,,,,35782.495,,,,,15043.585,,,,15809.245,,,16018.89,,16135.02,,,12690.055,,,,,,27508.235,,,13897.75,,,,21553.625,23879.875,
1469998945815,15186.7500000149,,,,,,30341.2950000018,,,,,,29424.0900000036,,,,8301.40000002086,17383.3900000006,,20515.174999997,21380.1499999911,18027.099999994,,,23893.8650000095,,,,,7425.82500000298,,,,,12420.2150000036,,,,,11968.2400000095
1469990696217,,,,,,,,,,,,,41720.8,31107.435,25489.09,37984.52,,,,,,,,,,,19794.48,19898.435,,,,,,26542.925,,,,,32750.71,
1470289364010,19508.23,21963.835,,,,,,,,,,,16577.09,19810.545,52523.71,21684.485,,,,,,,,,9729.09999999998,11435.235,,,,,,,,,12659.03,14421.385,,,,
1470035126676,,,,,,,,23740.55,,,,,12968.305,,,,20944.025,27850.01,,10503.47,22905.065,15197.1,,,10443.505,,,,,,15438.035,,,7088.62,,11688.745,6090.22500000001,,,
1469978692021,,,,,,,,,,,9568.10000000001,5910.54000000001,,,,,,,,,,11988.265,,,,,,,,,,14530.39,2303.03999999999,,5313.21000000002,,,,24256.155,
1470038169797,10414.895,,,,,,,15948.14,,,,,9787.30499999993,,,,12467.4299999999,14901.66,,8882.21999999997,14063.7899999999,24491.925,,,6113.34499999997,,,,,,,,,,,,5007.82499999995,,,15316.4000000001
1470039594689,,,,,16057.09,,,,,17500.6449999996,,,,,,,8160.70500000007,,,,,16007.4100000001,,32483.9649999999,,,,,,,,16888.9750000001,21408.8450000007,,,,,9617.48000000045,23432.4749999996,
1470219071274,,,,,,,30424.2000000001,,,,,,7248.77499999997,,,,,27280.3450000001,15919.725,,,,,,15463.7050000001,,,,,36698.75,,,,49043.97,,,,,21996.4800000001,
1469973340864,,,,16539.96,,,,,,,,,38231.83,,23249.42,23624.595,,,,,,,,,,29866.52,11622.28,,,,,,,,10562.165,,,,,31905.43
1470069475380,,,,,,,,,,,,,28438.29,17901.14,24282.7,19752.05,,,,,,,,,,10896.705,,13449.34,,,,,,,19587.805,,24577.755,10556.045,,
1469965849657,,,,36217.105,,,,,,,,,11448.685,22241.035,,32206.285,,,,,,,,,,18831.915,16854.135,,,,,,,7179.10999999999,,10601.865,,,,
1470011591760,,,,,,,,,,13108.22,41222.545,,,,,,32037.265,,,,,15472.09,,23692.57,,,,,,,,31609.46,32348.14,6728.97999999998,,15930.095,,,,
1469965545129,,,,,,,,15259.87,,14808.985,,,24372.895,,,,14715.86,22117.655,,10475.45,,11933.81,,,19821.195,,,,,12746.6500000001,,,,,11309.91,11042.1,,,20304.96,
1467530714428,,10928.73,,,,,,45093.32,37920.365,,,,,,,,,,,,49671.1699999999,,,,,23714.41,,,,,,,,,,,,,,
1465979290443,24078.565,25511.84,14306.54,18998.47,34324.94,,26389.63,22856.24,53343.86,,17280.665,10872.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470038193843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469964181133,23481.125,16589.93,,,,,,,,,,,19237.595,10416.765,17976.315,13078.78,,,,,,,,,14072.1,13223.59,,,,,,,,,,,,,27936.83,
1470046411825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
